timestamp_datetime,timestamp,aqi_raw,temperature_c,humidity,presence,minute_of_day,sin_minute_day,cos_minute_day,aqi_smoothed
2025-12-07 23:54:22+00:00,2025-12-07T23:54:22,37.97,21.1,69,0,1434,-0.026176948307873545,0.9996573249755573,37.81
2025-12-07 23:54:27+00:00,2025-12-07T23:54:27,37.85,21.1,69,0,1434,-0.026176948307873545,0.9996573249755573,37.82
2025-12-07 23:54:32+00:00,2025-12-07T23:54:32,37.48,21.1,69,0,1434,-0.026176948307873545,0.9996573249755573,37.79916666666667
2025-12-07 23:54:37+00:00,2025-12-07T23:54:37,37.85,21.0,69,0,1434,-0.026176948307873545,0.9996573249755573,37.76833333333333
2025-12-07 23:54:42+00:00,2025-12-07T23:54:42,37.73,21.0,69,0,1434,-0.026176948307873545,0.9996573249755573,37.77833333333333
2025-12-07 23:54:47+00:00,2025-12-07T23:54:47,37.97,21.0,69,0,1434,-0.026176948307873545,0.9996573249755573,37.81916666666667
2025-12-07 23:54:52+00:00,2025-12-07T23:54:52,37.48,21.0,70,0,1434,-0.026176948307873545,0.9996573249755573,37.839166666666664
2025-12-07 23:54:57+00:00,2025-12-07T23:54:57,37.48,21.0,69,0,1434,-0.026176948307873545,0.9996573249755573,37.85916666666667
2025-12-07 23:55:02+00:00,2025-12-07T23:55:02,37.48,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.83833333333333
2025-12-07 23:55:07+00:00,2025-12-07T23:55:07,37.24,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.736666666666665
2025-12-07 23:55:12+00:00,2025-12-07T23:55:12,37.12,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.635
2025-12-07 23:55:17+00:00,2025-12-07T23:55:17,37.24,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.57416666666666
2025-12-07 23:55:22+00:00,2025-12-07T23:55:22,37.24,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.51333333333333
2025-12-07 23:55:27+00:00,2025-12-07T23:55:27,37.24,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.4625
2025-12-07 23:55:32+00:00,2025-12-07T23:55:32,37.36,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.45249999999999
2025-12-07 23:55:37+00:00,2025-12-07T23:55:37,37.48,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.42166666666667
2025-12-07 23:55:43+00:00,2025-12-07T23:55:43,37.36,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.39083333333333
2025-12-07 23:55:48+00:00,2025-12-07T23:55:48,37.61,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.36083333333334
2025-12-07 23:55:53+00:00,2025-12-07T23:55:53,37.85,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.391666666666666
2025-12-07 23:55:58+00:00,2025-12-07T23:55:58,37.0,21.0,69,0,1435,-0.0218148850345609,0.9997620270799091,37.35166666666667
2025-12-07 23:56:03+00:00,2025-12-07T23:56:03,37.73,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.3725
2025-12-07 23:56:08+00:00,2025-12-07T23:56:08,37.48,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.392500000000005
2025-12-07 23:56:13+00:00,2025-12-07T23:56:13,37.85,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.45333333333333
2025-12-07 23:56:18+00:00,2025-12-07T23:56:18,37.73,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.494166666666665
2025-12-07 23:56:23+00:00,2025-12-07T23:56:23,39.44,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.6775
2025-12-07 23:56:28+00:00,2025-12-07T23:56:28,37.73,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.71833333333333
2025-12-07 23:56:33+00:00,2025-12-07T23:56:33,37.73,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.74916666666667
2025-12-07 23:56:38+00:00,2025-12-07T23:56:38,37.73,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.77
2025-12-07 23:56:43+00:00,2025-12-07T23:56:43,37.12,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.75
2025-12-07 23:56:48+00:00,2025-12-07T23:56:48,37.48,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.73916666666666
2025-12-07 23:56:53+00:00,2025-12-07T23:56:53,37.97,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.74916666666667
2025-12-07 23:56:58+00:00,2025-12-07T23:56:58,38.22,21.0,70,0,1436,-0.01745240643728445,0.9998476951563913,37.850833333333334
2025-12-07 23:57:03+00:00,2025-12-07T23:57:03,38.46,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,37.91166666666666
2025-12-07 23:57:08+00:00,2025-12-07T23:57:08,38.71,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.01416666666666
2025-12-07 23:57:13+00:00,2025-12-07T23:57:13,38.71,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.08583333333333
2025-12-07 23:57:18+00:00,2025-12-07T23:57:18,38.71,21.0,71,0,1437,-0.013089595571344759,0.999914327574007,38.1675
2025-12-07 23:57:23+00:00,2025-12-07T23:57:23,38.46,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.08583333333333
2025-12-07 23:57:28+00:00,2025-12-07T23:57:28,37.73,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.08583333333333
2025-12-07 23:57:33+00:00,2025-12-07T23:57:33,38.22,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.126666666666665
2025-12-07 23:57:38+00:00,2025-12-07T23:57:38,38.46,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.1875
2025-12-07 23:57:43+00:00,2025-12-07T23:57:43,38.58,21.0,70,0,1437,-0.013089595571344759,0.999914327574007,38.30916666666666
2025-12-07 23:57:48+00:00,2025-12-07T23:57:48,39.07,21.0,71,0,1437,-0.013089595571344759,0.999914327574007,38.44166666666667
2025-12-07 23:57:53+00:00,2025-12-07T23:57:53,39.07,21.0,71,0,1437,-0.013089595571344759,0.999914327574007,38.53333333333333
2025-12-07 23:57:58+00:00,2025-12-07T23:57:58,39.19,21.0,71,0,1437,-0.013089595571344759,0.999914327574007,38.61416666666667
2025-12-07 23:58:03+00:00,2025-12-07T23:58:03,39.07,21.0,71,0,1438,-0.008726535498373636,0.9999619230641713,38.665
2025-12-07 23:58:08+00:00,2025-12-07T23:58:08,39.19,21.0,71,0,1438,-0.008726535498373636,0.9999619230641713,38.705
2025-12-07 23:58:13+00:00,2025-12-07T23:58:13,39.07,21.0,71,0,1438,-0.008726535498373636,0.9999619230641713,38.735
2025-12-07 23:58:18+00:00,2025-12-07T23:58:18,39.07,21.0,71,0,1438,-0.008726535498373636,0.9999619230641713,38.76499999999999
2025-12-07 23:58:23+00:00,2025-12-07T23:58:23,39.68,21.1,72,0,1438,-0.008726535498373636,0.9999619230641713,38.86666666666667
2025-12-07 23:58:28+00:00,2025-12-07T23:58:28,38.46,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,38.9275
2025-12-07 23:58:33+00:00,2025-12-07T23:58:33,39.07,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,38.998333333333335
2025-12-07 23:58:38+00:00,2025-12-07T23:58:38,39.07,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,39.049166666666665
2025-12-07 23:58:43+00:00,2025-12-07T23:58:43,38.83,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,39.07
2025-12-07 23:58:48+00:00,2025-12-07T23:58:48,38.71,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,39.04
2025-12-07 23:58:54+00:00,2025-12-07T23:58:54,38.71,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,39.01
2025-12-07 23:58:59+00:00,2025-12-07T23:58:59,38.83,21.4,71,0,1438,-0.008726535498373636,0.9999619230641713,38.98
2025-12-07 23:59:04+00:00,2025-12-07T23:59:04,39.07,21.3,71,0,1439,-0.004363309284747432,0.9999904807207345,38.98
2025-12-07 23:59:09+00:00,2025-12-07T23:59:09,39.07,21.1,71,0,1439,-0.004363309284747432,0.9999904807207345,38.97
2025-12-07 23:59:14+00:00,2025-12-07T23:59:14,39.07,21.1,71,0,1439,-0.004363309284747432,0.9999904807207345,38.97
2025-12-07 23:59:19+00:00,2025-12-07T23:59:19,38.83,21.1,71,0,1439,-0.004363309284747432,0.9999904807207345,38.95
2025-12-07 23:59:24+00:00,2025-12-07T23:59:24,38.83,21.1,71,0,1439,-0.004363309284747432,0.9999904807207345,38.87916666666667
2025-12-07 23:59:29+00:00,2025-12-07T23:59:29,38.58,21.0,71,0,1439,-0.004363309284747432,0.9999904807207345,38.88916666666666
2025-12-07 23:59:34+00:00,2025-12-07T23:59:34,38.95,21.0,71,0,1439,-0.004363309284747432,0.9999904807207345,38.87916666666666
2025-12-07 23:59:39+00:00,2025-12-07T23:59:39,38.83,21.0,71,0,1439,-0.004363309284747432,0.9999904807207345,38.85916666666667
2025-12-07 23:59:44+00:00,2025-12-07T23:59:44,38.71,21.0,71,0,1439,-0.004363309284747432,0.9999904807207345,38.84916666666667
2025-12-07 23:59:49+00:00,2025-12-07T23:59:49,39.07,21.0,70,0,1439,-0.004363309284747432,0.9999904807207345,38.87916666666667
2025-12-07 23:59:54+00:00,2025-12-07T23:59:54,38.83,21.0,70,1,1439,-0.004363309284747432,0.9999904807207345,38.88916666666666
2025-12-07 23:59:59+00:00,2025-12-07T23:59:59,38.83,21.0,70,0,1439,-0.004363309284747432,0.9999904807207345,38.88916666666667
2025-12-08 00:00:04+00:00,2025-12-08T00:00:04,38.83,21.0,70,0,0,0.0,1.0,38.869166666666665
2025-12-08 00:00:09+00:00,2025-12-08T00:00:09,39.07,21.0,70,0,0,0.0,1.0,38.869166666666665
2025-12-08 00:00:14+00:00,2025-12-08T00:00:14,38.95,21.0,70,0,0,0.0,1.0,38.85916666666667
2025-12-08 00:00:19+00:00,2025-12-08T00:00:19,39.07,21.0,70,0,0,0.0,1.0,38.87916666666666
2025-12-08 00:00:24+00:00,2025-12-08T00:00:24,39.19,21.0,70,0,0,0.0,1.0,38.909166666666664
2025-12-08 00:00:29+00:00,2025-12-08T00:00:29,38.58,21.0,70,1,0,0.0,1.0,38.90916666666667
2025-12-08 00:00:34+00:00,2025-12-08T00:00:34,39.07,21.0,70,1,0,0.0,1.0,38.91916666666667
2025-12-08 00:00:39+00:00,2025-12-08T00:00:39,39.07,21.0,70,0,0,0.0,1.0,38.939166666666665
2025-12-08 00:00:44+00:00,2025-12-08T00:00:44,38.83,21.0,70,0,0,0.0,1.0,38.94916666666666
2025-12-08 00:00:49+00:00,2025-12-08T00:00:49,38.83,21.0,70,0,0,0.0,1.0,38.92916666666667
2025-12-08 00:00:54+00:00,2025-12-08T00:00:54,39.07,21.0,70,0,0,0.0,1.0,38.94916666666666
2025-12-08 00:00:59+00:00,2025-12-08T00:00:59,39.07,21.0,70,0,0,0.0,1.0,38.969166666666666
2025-12-08 00:01:04+00:00,2025-12-08T00:01:04,39.07,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.98916666666667
2025-12-08 00:01:09+00:00,2025-12-08T00:01:09,39.07,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.98916666666667
2025-12-08 00:01:14+00:00,2025-12-08T00:01:14,38.95,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.98916666666667
2025-12-08 00:01:19+00:00,2025-12-08T00:01:19,38.83,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.969166666666666
2025-12-08 00:01:24+00:00,2025-12-08T00:01:24,38.83,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.93916666666667
2025-12-08 00:01:29+00:00,2025-12-08T00:01:29,36.02,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.725833333333334
2025-12-08 00:01:34+00:00,2025-12-08T00:01:34,38.95,21.0,70,0,1,0.004363309284746571,0.9999904807207345,38.71583333333333
2025-12-08 00:01:39+00:00,2025-12-08T00:01:39,39.07,21.0,71,0,1,0.004363309284746571,0.9999904807207345,38.715833333333336
2025-12-08 00:01:44+00:00,2025-12-08T00:01:44,38.95,21.0,71,0,1,0.004363309284746571,0.9999904807207345,38.725833333333334
2025-12-08 00:01:49+00:00,2025-12-08T00:01:49,39.07,21.0,71,1,1,0.004363309284746571,0.9999904807207345,38.74583333333333
2025-12-08 00:01:54+00:00,2025-12-08T00:01:54,39.07,21.0,71,1,1,0.004363309284746571,0.9999904807207345,38.74583333333333
2025-12-08 00:01:59+00:00,2025-12-08T00:01:59,39.07,21.0,71,0,1,0.004363309284746571,0.9999904807207345,38.74583333333333
2025-12-08 00:02:05+00:00,2025-12-08T00:02:05,39.56,21.0,71,0,2,0.008726535498373935,0.9999619230641713,38.78666666666667
2025-12-08 00:02:10+00:00,2025-12-08T00:02:10,39.32,21.0,71,0,2,0.008726535498373935,0.9999619230641713,38.8075
2025-12-08 00:02:15+00:00,2025-12-08T00:02:15,39.32,21.0,71,1,2,0.008726535498373935,0.9999619230641713,38.83833333333333
2025-12-08 00:02:20+00:00,2025-12-08T00:02:20,39.68,21.0,71,0,2,0.008726535498373935,0.9999619230641713,38.90916666666667
2025-12-08 00:02:25+00:00,2025-12-08T00:02:25,39.32,21.0,71,0,2,0.008726535498373935,0.9999619230641713,38.949999999999996
2025-12-08 00:02:30+00:00,2025-12-08T00:02:30,39.44,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.235
2025-12-08 00:02:35+00:00,2025-12-08T00:02:35,39.56,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.285833333333336
2025-12-08 00:02:40+00:00,2025-12-08T00:02:40,39.07,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.285833333333336
2025-12-08 00:02:45+00:00,2025-12-08T00:02:45,38.95,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.285833333333336
2025-12-08 00:02:50+00:00,2025-12-08T00:02:50,38.83,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.26583333333333
2025-12-08 00:02:55+00:00,2025-12-08T00:02:55,38.95,21.0,71,0,2,0.008726535498373935,0.9999619230641713,39.255833333333335
2025-12-08 00:03:00+00:00,2025-12-08T00:03:00,39.07,21.0,71,0,3,0.01308959557134444,0.999914327574007,39.255833333333335
2025-12-08 00:03:05+00:00,2025-12-08T00:03:05,38.95,21.0,71,1,3,0.01308959557134444,0.999914327574007,39.205000000000005
2025-12-08 00:03:10+00:00,2025-12-08T00:03:10,38.71,21.0,71,1,3,0.01308959557134444,0.999914327574007,39.15416666666667
2025-12-08 00:03:15+00:00,2025-12-08T00:03:15,38.46,21.0,71,0,3,0.01308959557134444,0.999914327574007,39.0825
2025-12-08 00:03:20+00:00,2025-12-08T00:03:20,38.46,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.98083333333334
2025-12-08 00:03:25+00:00,2025-12-08T00:03:25,38.46,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.90916666666667
2025-12-08 00:03:30+00:00,2025-12-08T00:03:30,38.46,21.0,71,1,3,0.01308959557134444,0.999914327574007,38.82750000000001
2025-12-08 00:03:35+00:00,2025-12-08T00:03:35,38.46,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.73583333333334
2025-12-08 00:03:40+00:00,2025-12-08T00:03:40,38.58,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.695
2025-12-08 00:03:45+00:00,2025-12-08T00:03:45,38.71,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.675000000000004
2025-12-08 00:03:50+00:00,2025-12-08T00:03:50,38.95,21.0,71,0,3,0.01308959557134444,0.999914327574007,38.685
2025-12-08 00:03:55+00:00,2025-12-08T00:03:55,38.95,21.0,71,1,3,0.01308959557134444,0.999914327574007,38.685
2025-12-08 00:04:00+00:00,2025-12-08T00:04:00,39.07,21.0,71,0,4,0.01745240643728351,0.9998476951563913,38.685
2025-12-08 00:04:05+00:00,2025-12-08T00:04:05,40.29,21.0,71,1,4,0.01745240643728351,0.9998476951563913,38.79666666666667
2025-12-08 00:04:10+00:00,2025-12-08T00:04:10,39.07,21.0,71,0,4,0.01745240643728351,0.9998476951563913,38.82666666666667
2025-12-08 00:04:15+00:00,2025-12-08T00:04:15,39.07,21.0,71,1,4,0.01745240643728351,0.9998476951563913,38.877500000000005
2025-12-08 00:04:20+00:00,2025-12-08T00:04:20,39.32,21.0,71,1,4,0.01745240643728351,0.9998476951563913,38.94916666666666
2025-12-08 00:04:25+00:00,2025-12-08T00:04:25,39.07,21.0,71,0,4,0.01745240643728351,0.9998476951563913,39.0
2025-12-08 00:04:30+00:00,2025-12-08T00:04:30,39.19,21.0,71,0,4,0.01745240643728351,0.9998476951563913,39.06083333333333
2025-12-08 00:04:35+00:00,2025-12-08T00:04:35,38.83,21.0,71,0,4,0.01745240643728351,0.9998476951563913,39.09166666666667
2025-12-08 00:04:40+00:00,2025-12-08T00:04:40,38.71,21.0,71,0,4,0.01745240643728351,0.9998476951563913,39.1025
2025-12-08 00:04:45+00:00,2025-12-08T00:04:45,38.46,21.0,71,0,4,0.01745240643728351,0.9998476951563913,39.08166666666666
