timestamp,aqi,temp,hum,presence
2025-12-21T16:21:15,13.68,21.0,55.0,0
2025-12-21T16:21:20,7.81,21.0,55.0,1
2025-12-21T16:21:25,4.15,21.0,55.0,1
2025-12-21T16:21:30,5.25,21.0,55.0,1
2025-12-21T16:21:35,5.01,21.0,55.0,1
2025-12-21T16:21:40,5.13,21.0,55.0,0
2025-12-21T16:21:45,5.86,21.0,55.0,1
2025-12-21T16:21:50,5.13,21.0,55.0,1
2025-12-21T16:21:55,4.52,21.0,55.0,0
2025-12-21T16:22:00,5.13,21.0,55.0,1
2025-12-21T16:22:05,5.25,21.0,55.0,1
2025-12-21T16:22:10,6.47,21.0,55.0,1
2025-12-21T16:24:47,22.71,21.0,55.0,0
2025-12-21T16:24:53,21.98,21.0,55.0,0
2025-12-21T16:24:58,23.08,21.0,55.0,0
2025-12-21T16:25:03,22.95,21.0,55.0,0
2025-12-21T16:25:08,23.44,21.0,55.0,1
2025-12-21T16:25:13,21.98,21.0,55.0,1
2025-12-21T16:25:18,21.86,21.0,55.0,1
2025-12-21T16:25:23,21.98,21.0,55.0,0
2025-12-21T16:25:28,22.1,21.0,55.0,1
2025-12-21T16:25:33,21.86,21.0,55.0,1
2025-12-21T16:25:38,21.73,21.1,55.0,1
2025-12-21T16:25:43,21.98,21.1,55.0,0
2025-12-21T16:25:48,22.1,21.3,55.0,1
2025-12-21T16:25:53,20.76,21.4,55.0,1
2025-12-21T16:25:58,21.73,21.4,55.0,1
2025-12-21T16:26:03,21.98,21.4,55.0,1
2025-12-21T16:26:08,21.86,21.4,55.0,0
2025-12-21T16:26:13,21.61,21.4,55.0,1
2025-12-21T16:26:18,21.61,21.4,55.0,1
2025-12-21T16:26:23,21.61,21.4,55.0,1
2025-12-21T16:26:28,22.1,21.4,55.0,0
2025-12-21T16:26:33,21.61,21.4,55.0,0
2025-12-21T16:26:38,21.61,21.4,55.0,0
2025-12-21T16:26:43,21.98,21.4,55.0,0
2025-12-21T16:26:48,21.73,21.4,55.0,0
2025-12-21T16:26:53,24.54,21.4,55.0,0
2025-12-21T16:26:58,21.61,21.4,55.0,0
2025-12-21T16:27:03,22.1,21.4,55.0,0
2025-12-21T16:27:08,21.86,21.4,55.0,0
2025-12-21T16:27:13,21.49,21.4,55.0,0
2025-12-21T16:27:18,21.25,21.4,55.0,0
2025-12-21T16:27:23,22.22,21.4,55.0,0
2025-12-21T16:27:28,21.49,21.4,55.0,0
2025-12-21T16:27:33,22.1,21.4,55.0,1
2025-12-21T16:27:38,21.98,21.4,55.0,1
2025-12-21T16:27:43,22.22,21.4,55.0,0
2025-12-21T16:27:48,21.49,21.4,55.0,1
2025-12-21T16:27:53,22.22,21.4,55.0,1
2025-12-21T16:27:58,22.1,21.4,54.0,1
2025-12-21T16:28:03,22.1,21.4,54.0,1
2025-12-21T16:28:09,21.98,21.4,54.0,0
2025-12-21T16:28:14,22.1,21.4,54.0,0
2025-12-21T16:28:19,22.1,21.4,54.0,0
2025-12-21T16:28:24,22.1,21.4,54.0,0
2025-12-21T16:28:29,21.86,21.4,54.0,0
2025-12-21T16:28:34,22.1,21.4,54.0,1
2025-12-21T16:28:39,22.1,21.4,54.0,1
2025-12-21T16:28:44,22.22,21.4,54.0,1
2025-12-21T16:28:49,21.49,21.4,54.0,0
2025-12-21T16:28:54,21.61,21.4,54.0,1
2025-12-21T16:28:59,22.1,21.4,54.0,1
2025-12-21T16:29:04,22.1,21.4,54.0,0
2025-12-21T16:29:09,21.86,21.4,54.0,0
2025-12-21T16:29:14,21.73,21.4,54.0,0
2025-12-21T16:29:19,21.86,21.4,54.0,0
2025-12-21T16:29:24,21.86,21.4,54.0,0
2025-12-21T16:29:29,21.73,21.4,54.0,0
2025-12-21T16:29:34,21.98,21.4,54.0,0
